date,species,trap,addressnumberandstreet,latitude,longitude,nummosquitos,wnvpresent
2007-06-05,culex pipiens/restuans,T218,"3700  n kedvale ave, chicago, il",41.948167,-87.730698,2,0
2007-06-05,culex restuans,T218,"3700  n kedvale ave, chicago, il",41.948167,-87.730698,1,0
2007-06-05,culex restuans,T220,"4500  n campbell ave, chicago, il",41.963976,-87.69181,1,0
2007-06-26,culex pipiens/restuans,T002,"4100  n oak park ave, chicago, il",41.95469,-87.800991,1,0
2007-06-26,culex restuans,T002,"4100  n oak park ave, chicago, il",41.95469,-87.800991,4,0
2007-06-26,culex salinarius,T002,"4100  n oak park ave, chicago, il",41.95469,-87.800991,1,0
2007-06-26,culex pipiens/restuans,T007,"6200  n mandell ave, chicago, il",41.994991,-87.769279,1,0
2007-06-26,culex restuans,T007,"6200  n mandell ave, chicago, il",41.994991,-87.769279,4,0
2007-06-26,culex restuans,T015,"7900  w foster ave, chicago, il",41.974089,-87.824812,1,0
2007-06-26,culex pipiens/restuans,T045,"1500  w webster ave, chicago, il",41.9216,-87.666455,1,0
2007-06-26,culex restuans,T045,"1500  w webster ave, chicago, il",41.9216,-87.666455,1,0
2007-06-26,culex pipiens/restuans,T046,"2500  w grand ave, chicago, il",41.891118,-87.65449100000001,1,0
2007-06-26,culex restuans,T046,"2500  w grand ave, chicago, il",41.891118,-87.65449100000001,6,0
2007-06-26,culex pipiens/restuans,T048,"1100  w roosevelt, chicago, il",41.867108,-87.654224,2,0
2007-06-26,culex restuans,T049,"1100  w chicago, chicago, il",41.896282,-87.655232,1,0
2007-06-26,culex restuans,T050,"2100  n stave st, chicago, il",41.919343,-87.694259,1,0
2007-06-26,culex pipiens/restuans,T086,"2200  w 113th st, chicago, il",41.688324,-87.676709,1,0
2007-06-26,culex pipiens/restuans,T086,"2200  w 113th st, chicago, il",41.688324,-87.676709,1,0
2007-06-26,culex restuans,T086,"2200  w 113th st, chicago, il",41.688324,-87.676709,2,0
2007-06-26,culex restuans,T096,"2200  w 89th st, chicago, il",41.731922,-87.677512,5,0
2007-06-26,culex pipiens/restuans,T129,"5300  n streeter dr, chicago, il",41.891126,-87.61156,1,0
2007-06-26,culex restuans,T129,"5300  n streeter dr, chicago, il",41.891126,-87.61156,1,0
2007-06-26,culex pipiens/restuans,T143,"6500  n oak park ave, chicago, il",41.999128999999996,-87.795585,1,0
2007-06-26,culex restuans,T143,"6500  n oak park ave, chicago, il",41.999128999999996,-87.795585,1,0
2007-06-26,culex pipiens/restuans,T148,"7500  n oakley ave, chicago, il",42.01743,-87.68776899999999,2,0
2007-06-26,culex restuans,T148,"7500  n oakley ave, chicago, il",42.01743,-87.68776899999999,2,0
2007-06-26,culex pipiens/restuans,T011,"3600  n pittsburgh ave, chicago, il",41.944869,-87.832763,2,0
2007-06-26,culex restuans,T011,"3600  n pittsburgh ave, chicago, il",41.944869,-87.832763,4,0
2007-06-26,culex pipiens/restuans,T016,"7200  n oketo ave, chicago, il",42.011601,-87.81150600000001,2,0
2007-06-26,culex restuans,T016,"7200  n oketo ave, chicago, il",42.011601,-87.81150600000001,2,0
2007-06-26,culex restuans,T019,"3800  n california ave, chicago, il",41.94983,-87.69845699999999,1,0
2007-06-26,culex pipiens/restuans,T025,"4900  w balmoral ave, chicago, il",41.979243,-87.750938,1,0
2007-06-26,culex pipiens/restuans,T028,"5800  n western ave, chicago, il",41.986921,-87.689778,1,0
2007-06-26,culex restuans,T028,"5800  n western ave, chicago, il",41.986921,-87.689778,9,0
2007-06-26,culex pipiens/restuans,T033,"1400  n humboldt dr, chicago, il",41.906638,-87.701431,2,0
2007-06-26,culex restuans,T033,"1400  n humboldt dr, chicago, il",41.906638,-87.701431,3,0
2007-06-26,culex pipiens/restuans,T090,"1100  s ashland ave, chicago, il",41.868077,-87.666901,10,0
2007-06-26,culex restuans,T090,"1100  s ashland ave, chicago, il",41.868077,-87.666901,19,0
2007-06-26,culex pipiens,T090,"1100  s ashland ave, chicago, il",41.868077,-87.666901,1,0
2007-06-26,culex pipiens/restuans,T135,"4200  w 127th pl, chicago, il",41.662014,-87.72460799999999,20,0
2007-06-26,culex restuans,T135,"4200  w 127th pl, chicago, il",41.662014,-87.72460799999999,25,0
2007-06-26,culex pipiens,T135,"4200  w 127th pl, chicago, il",41.662014,-87.72460799999999,6,0
2007-06-26,culex pipiens/restuans,T141,"5300  w agatite ave, chicago, il",41.961743,-87.76007,1,0
2007-06-26,culex restuans,T141,"5300  w agatite ave, chicago, il",41.961743,-87.76007,3,0
2007-06-26,culex restuans,T142,"4000  n austin ave, chicago, il",41.953067,-87.776792,4,0
2007-06-26,culex restuans,T145,"4300  n ashland ave overpass, chicago, il",41.878114000000004,-87.629798,1,0
2007-06-26,culex restuans,T146,"4200  n richmond st, chicago, il",41.958271,-87.702575,6,0
2007-06-26,culex restuans,T147,"2800  n francisco ave, chicago, il",41.932094,-87.700117,1,0
2007-06-26,culex restuans,T150,"1800  w farwell ave, chicago, il",42.006858,-87.675919,2,0
2007-06-26,culex pipiens/restuans,T151,"7000   w armitage avenue, chicago, il",41.916265,-87.800515,3,0
2007-06-26,culex restuans,T151,"7000   w armitage avenue, chicago, il",41.916265,-87.800515,6,0
2007-06-26,culex pipiens/restuans,T158,"3500  w 116th st, chicago, il",41.682587,-87.707973,1,0
2007-06-26,culex restuans,T158,"3500  w 116th st, chicago, il",41.682587,-87.707973,4,0
2007-06-26,culex restuans,T220,"4500  n campbell ave, chicago, il",41.963976,-87.69181,1,0
2007-06-26,culex pipiens/restuans,T001,"4000  n tripp ave, chicago, il",41.953705,-87.733974,1,0
2007-06-26,culex restuans,T003,"4600  n milwaukee ave, chicago, il",41.964242,-87.757639,2,0
2007-06-26,culex pipiens/restuans,T006,"6000  n avondale ave, chicago, il",41.990284,-87.797127,1,0
2007-06-26,culex restuans,T006,"6000  n avondale ave, chicago, il",41.990284,-87.797127,1,0
2007-06-26,culex restuans,T008,"7000  n mosell ave, chicago, il",42.008314,-87.77792099999999,2,0
2007-06-26,culex pipiens/restuans,T012,"6100  n lemont ave, chicago, il",41.991429,-87.747113,2,0
2007-06-26,culex restuans,T034,"2700  s western ave, chicago, il",41.843810999999995,-87.686763,1,0
2007-06-26,culex restuans,T037,"6800  w belden ave, chicago, il",41.921177,-87.79518,1,0
2007-06-26,culex pipiens/restuans,T040,"2100  s hamlin ave, chicago, il",41.852652,-87.719887,5,0
2007-06-26,culex restuans,T040,"2100  s hamlin ave, chicago, il",41.852652,-87.719887,1,0
2007-06-26,culex restuans,T043,"3000  w 18th st, chicago, il",41.857402,-87.694991,1,0
2007-06-26,culex pipiens/restuans,T047,"1100  s california, chicago, il",41.868142,-87.696269,1,0
2007-06-26,culex restuans,T047,"1100  s california, chicago, il",41.868142,-87.696269,1,0
2007-06-26,culex pipiens/restuans,T051,"2500  s throop, chicago, il",41.846283,-87.656913,1,0
2007-06-26,culex restuans,T085,"1000  w 95th st, chicago, il",41.721474,-87.648064,2,0
2007-06-26,culex pipiens,T088,"1000  s california ave, chicago, il",41.869107,-87.69629300000001,1,0
2007-06-26,culex pipiens/restuans,T161,"9600  s hoyne ave, chicago, il",41.719059,-87.675088,3,0
2007-06-26,culex restuans,T161,"9600  s hoyne ave, chicago, il",41.719059,-87.675088,5,0
2007-06-26,culex restuans,T219,"1800  w leland ave, chicago, il",41.966986999999996,-87.674677,1,0
2007-06-29,culex pipiens/restuans,T002,"4100  n oak park ave, chicago, il",41.95469,-87.800991,2,0
2007-06-29,culex pipiens/restuans,T015,"7900  w foster ave, chicago, il",41.974089,-87.824812,1,0
2007-06-29,culex restuans,T015,"7900  w foster ave, chicago, il",41.974089,-87.824812,2,0
2007-06-29,culex restuans,T046,"2500  w grand ave, chicago, il",41.891118,-87.65449100000001,2,0
2007-06-29,culex pipiens/restuans,T054,"2200  n cannon dr, chicago, il",41.921965,-87.632085,3,0
2007-06-29,culex restuans,T086,"2200  w 113th st, chicago, il",41.688324,-87.676709,2,0
2007-06-29,culex pipiens,T086,"2200  w 113th st, chicago, il",41.688324,-87.676709,1,0
2007-06-29,culex pipiens/restuans,T091,"1100  s peoria st, chicago, il",41.862292,-87.64886,1,0
2007-06-29,culex restuans,T096,"2200  w 89th st, chicago, il",41.731922,-87.677512,1,0
2007-06-29,culex restuans,T143,"6500  n oak park ave, chicago, il",41.999128999999996,-87.795585,3,0
2007-06-29,culex pipiens/restuans,T148,"7500  n oakley ave, chicago, il",42.01743,-87.68776899999999,2,0
2007-06-29,culex restuans,T148,"7500  n oakley ave, chicago, il",42.01743,-87.68776899999999,2,0
2007-06-29,culex restuans,T153,"1500  n long ave, chicago, il",41.907645,-87.760886,1,0
2007-06-29,culex pipiens/restuans,T016,"7200  n oketo ave, chicago, il",42.011601,-87.81150600000001,2,0
2007-06-29,culex pipiens/restuans,T028,"5800  n western ave, chicago, il",41.986921,-87.689778,2,0
2007-06-29,culex restuans,T028,"5800  n western ave, chicago, il",41.986921,-87.689778,1,0
2007-06-29,culex pipiens,T031,"5000  s central ave, chicago, il",41.801497999999995,-87.763416,1,0
2007-06-29,culex restuans,T089,"1000  s vincennes, chicago, il",41.723195000000004,-87.64997,2,0
2007-06-29,culex pipiens/restuans,T090,"1100  s ashland ave, chicago, il",41.868077,-87.666901,1,0
2007-06-29,culex restuans,T090,"1100  s ashland ave, chicago, il",41.868077,-87.666901,6,0
2007-06-29,culex pipiens,T090,"1100  s ashland ave, chicago, il",41.868077,-87.666901,3,0
2007-06-29,culex restuans,T135,"4200  w 127th pl, chicago, il",41.662014,-87.72460799999999,3,0
2007-06-29,culex restuans,T141,"5300  w agatite ave, chicago, il",41.961743,-87.76007,1,0
2007-06-29,culex restuans,T142,"4000  n austin ave, chicago, il",41.953067,-87.776792,1,0
2007-06-29,culex restuans,T145,"4300  n ashland ave overpass, chicago, il",41.878114000000004,-87.629798,1,0
2007-06-29,culex restuans,T146,"4200  n richmond st, chicago, il",41.958271,-87.702575,2,0
2007-06-29,culex restuans,T150,"1800  w farwell ave, chicago, il",42.006858,-87.675919,1,0
2007-06-29,culex pipiens/restuans,T151,"7000   w armitage avenue, chicago, il",41.916265,-87.800515,1,0
2007-06-29,culex restuans,T151,"7000   w armitage avenue, chicago, il",41.916265,-87.800515,5,0
2007-06-29,culex restuans,T158,"3500  w 116th st, chicago, il",41.682587,-87.707973,6,0
2007-06-29,culex restuans,T218,"3700  n kedvale ave, chicago, il",41.948167,-87.730698,5,0
2007-06-29,culex restuans,T006,"6000  n avondale ave, chicago, il",41.990284,-87.797127,1,0
2007-06-29,culex pipiens/restuans,T012,"6100  n lemont ave, chicago, il",41.991429,-87.747113,1,0
2007-06-29,culex pipiens/restuans,T043,"3000  w 18th st, chicago, il",41.857402,-87.694991,2,0
2007-06-29,culex restuans,T043,"3000  w 18th st, chicago, il",41.857402,-87.694991,3,0
2007-06-29,culex pipiens/restuans,T085,"1000  w 95th st, chicago, il",41.721474,-87.648064,1,0
2007-06-29,culex pipiens,T085,"1000  w 95th st, chicago, il",41.721474,-87.648064,1,0
2007-06-29,culex pipiens/restuans,T013,"6100  w fullerton ave, chicago, il",41.923738,-87.785288,1,0
2007-06-29,culex restuans,T014,"6400  w strong st, chicago, il",41.970248,-87.787992,1,0
2007-06-29,culex restuans,T018,"1200  w greenleaf ave, chicago, il",42.010412,-87.66214000000001,1,0
2007-06-29,culex pipiens/restuans,T030,"1000  n central park dr, chicago, il",41.899229999999996,-87.716788,1,0
2007-06-29,culex restuans,T030,"1000  n central park dr, chicago, il",41.899229999999996,-87.716788,1,0
2007-06-29,culex pipiens/restuans,T084,"2000  e 111th st, chicago, il",41.692555,-87.598865,1,0
2007-06-29,culex restuans,T084,"2000  e 111th st, chicago, il",41.692555,-87.598865,1,0
2007-06-29,culex pipiens/restuans,T144,"3300  n rutherford ave, chicago, il",41.94016,-87.794896,1,0
2007-06-29,culex pipiens/restuans,T160,"1100  s artesian ave, chicago, il",41.903002,-87.68826700000001,1,0
2007-07-02,culex pipiens/restuans,T002,"4100  n oak park ave, chicago, il",41.95469,-87.800991,3,0
2007-07-02,culex restuans,T002,"4100  n oak park ave, chicago, il",41.95469,-87.800991,2,0
2007-07-02,culex pipiens/restuans,T007,"6200  n mandell ave, chicago, il",41.994991,-87.769279,4,0
2007-07-02,culex restuans,T007,"6200  n mandell ave, chicago, il",41.994991,-87.769279,4,0
2007-07-02,culex pipiens/restuans,T015,"7900  w foster ave, chicago, il",41.974089,-87.824812,3,0
2007-07-02,culex pipiens/restuans,T045,"1500  w webster ave, chicago, il",41.9216,-87.666455,2,0
2007-07-02,culex restuans,T045,"1500  w webster ave, chicago, il",41.9216,-87.666455,2,0
2007-07-02,culex pipiens/restuans,T046,"2500  w grand ave, chicago, il",41.891118,-87.65449100000001,3,0
2007-07-02,culex restuans,T046,"2500  w grand ave, chicago, il",41.891118,-87.65449100000001,16,0
2007-07-02,culex restuans,T048,"1100  w roosevelt, chicago, il",41.867108,-87.654224,1,0
2007-07-02,culex pipiens/restuans,T054,"2200  n cannon dr, chicago, il",41.921965,-87.632085,2,0
2007-07-02,culex restuans,T054,"2200  n cannon dr, chicago, il",41.921965,-87.632085,1,0
2007-07-02,culex pipiens/restuans,T086,"2200  w 113th st, chicago, il",41.688324,-87.676709,2,0
2007-07-02,culex restuans,T086,"2200  w 113th st, chicago, il",41.688324,-87.676709,3,0
2007-07-02,culex pipiens/restuans,T096,"2200  w 89th st, chicago, il",41.731922,-87.677512,3,0
2007-07-02,culex restuans,T096,"2200  w 89th st, chicago, il",41.731922,-87.677512,4,0
2007-07-02,culex pipiens,T096,"2200  w 89th st, chicago, il",41.731922,-87.677512,3,0
2007-07-02,culex pipiens/restuans,T129,"5300  n streeter dr, chicago, il",41.891126,-87.61156,2,0
2007-07-02,culex restuans,T129,"5300  n streeter dr, chicago, il",41.891126,-87.61156,1,0
2007-07-02,culex restuans,T148,"7500  n oakley ave, chicago, il",42.01743,-87.68776899999999,1,0
2007-07-02,culex restuans,T009,"9100  w higgins ave, chicago, il",41.981964000000005,-87.812827,2,0
2007-07-02,culex pipiens/restuans,T011,"3600  n pittsburgh ave, chicago, il",41.944869,-87.832763,6,0
2007-07-02,culex restuans,T016,"7200  n oketo ave, chicago, il",42.011601,-87.81150600000001,1,0
2007-07-02,culex restuans,T019,"3800  n california ave, chicago, il",41.94983,-87.69845699999999,1,0
2007-07-02,culex pipiens/restuans,T028,"5800  n western ave, chicago, il",41.986921,-87.689778,1,0
2007-07-02,culex restuans,T028,"5800  n western ave, chicago, il",41.986921,-87.689778,5,0
2007-07-02,culex pipiens,T028,"5800  n western ave, chicago, il",41.986921,-87.689778,1,0
2007-07-02,culex pipiens/restuans,T089,"1000  s vincennes, chicago, il",41.723195000000004,-87.64997,1,0
2007-07-02,culex pipiens/restuans,T090,"1100  s ashland ave, chicago, il",41.868077,-87.666901,2,0
2007-07-02,culex restuans,T090,"1100  s ashland ave, chicago, il",41.868077,-87.666901,11,0
2007-07-02,culex restuans,T092,"1100  s state st, chicago, il",41.869215999999994,-87.627561,2,0
2007-07-02,culex pipiens/restuans,T135,"4200  w 127th pl, chicago, il",41.662014,-87.72460799999999,16,0
2007-07-02,culex restuans,T135,"4200  w 127th pl, chicago, il",41.662014,-87.72460799999999,12,0
2007-07-02,culex salinarius,T135,"4200  w 127th pl, chicago, il",41.662014,-87.72460799999999,2,0
2007-07-02,culex pipiens/restuans,T142,"4000  n austin ave, chicago, il",41.953067,-87.776792,1,0
2007-07-02,culex restuans,T142,"4000  n austin ave, chicago, il",41.953067,-87.776792,1,0
2007-07-02,culex salinarius,T145,"4300  n ashland ave overpass, chicago, il",41.878114000000004,-87.629798,1,0
2007-07-02,culex restuans,T146,"4200  n richmond st, chicago, il",41.958271,-87.702575,1,0
2007-07-02,culex pipiens/restuans,T149,"1500  w granville ave, chicago, il",41.994469,-87.667736,1,0
2007-07-02,culex restuans,T149,"1500  w granville ave, chicago, il",41.994469,-87.667736,1,0
2007-07-02,culex pipiens/restuans,T151,"7000   w armitage avenue, chicago, il",41.916265,-87.800515,5,0
2007-07-02,culex restuans,T151,"7000   w armitage avenue, chicago, il",41.916265,-87.800515,2,0
2007-07-02,culex pipiens/restuans,T152,"2500  s millard ave, chicago, il",41.846075,-87.716277,1,0
2007-07-02,culex pipiens/restuans,T154,"2100  n lawler ave, chicago, il",41.918704999999996,-87.752329,1,0
2007-07-02,culex pipiens/restuans,T158,"3500  w 116th st, chicago, il",41.682587,-87.707973,28,0
2007-07-02,culex restuans,T158,"3500  w 116th st, chicago, il",41.682587,-87.707973,4,0
2007-07-02,culex pipiens/restuans,T218,"3700  n kedvale ave, chicago, il",41.948167,-87.730698,2,0
2007-07-02,culex restuans,T003,"4600  n milwaukee ave, chicago, il",41.964242,-87.757639,1,0
2007-07-02,culex restuans,T006,"6000  n avondale ave, chicago, il",41.990284,-87.797127,1,0
2007-07-02,culex pipiens/restuans,T008,"7000  n mosell ave, chicago, il",42.008314,-87.77792099999999,4,0
2007-07-02,culex restuans,T008,"7000  n mosell ave, chicago, il",42.008314,-87.77792099999999,3,0
2007-07-02,culex salinarius,T012,"6100  n lemont ave, chicago, il",41.991429,-87.747113,1,0
2007-07-02,culex pipiens/restuans,T037,"6800  w belden ave, chicago, il",41.921177,-87.79518,1,0
2007-07-02,culex restuans,T037,"6800  w belden ave, chicago, il",41.921177,-87.79518,2,0
2007-07-02,culex pipiens/restuans,T043,"3000  w 18th st, chicago, il",41.857402,-87.694991,5,0
2007-07-02,culex pipiens/restuans,T047,"1100  s california, chicago, il",41.868142,-87.696269,4,0
2007-07-02,culex restuans,T047,"1100  s california, chicago, il",41.868142,-87.696269,8,0
2007-07-02,culex pipiens/restuans,T051,"2500  s throop, chicago, il",41.846283,-87.656913,1,0
2007-07-02,culex pipiens/restuans,T085,"1000  w 95th st, chicago, il",41.721474,-87.648064,2,0
2007-07-02,culex pipiens/restuans,T088,"1000  s california ave, chicago, il",41.869107,-87.69629300000001,1,0
2007-07-02,culex pipiens/restuans,T161,"9600  s hoyne ave, chicago, il",41.719059,-87.675088,3,0
2007-07-02,culex restuans,T161,"9600  s hoyne ave, chicago, il",41.719059,-87.675088,2,0
2007-07-02,culex pipiens/restuans,T013,"6100  w fullerton ave, chicago, il",41.923738,-87.785288,6,0
2007-07-02,culex restuans,T013,"6100  w fullerton ave, chicago, il",41.923738,-87.785288,1,0
2007-07-02,culex pipiens/restuans,T014,"6400  w strong st, chicago, il",41.970248,-87.787992,5,0
2007-07-02,culex restuans,T014,"6400  w strong st, chicago, il",41.970248,-87.787992,1,0
2007-07-02,culex pipiens/restuans,T018,"1200  w greenleaf ave, chicago, il",42.010412,-87.66214000000001,1,0
2007-07-02,culex pipiens/restuans,T030,"1000  n central park dr, chicago, il",41.899229999999996,-87.716788,3,0
2007-07-02,culex restuans,T030,"1000  n central park dr, chicago, il",41.899229999999996,-87.716788,2,0
2007-07-02,culex pipiens/restuans,T005,"6000  w roscoe st, chicago, il",41.942114000000004,-87.776385,3,0
2007-07-02,culex pipiens/restuans,T017,"6000  w montrose dr, chicago, il",41.960615999999995,-87.777189,1,0
2007-07-02,culex pipiens/restuans,T044,"3300  e randolph st, chicago, il",41.883284,-87.705085,2,0
2007-07-02,culex restuans,T044,"3300  e randolph st, chicago, il",41.883284,-87.705085,1,0
2007-07-02,culex pipiens/restuans,T095,"3300  w 104th st, chicago, il",41.704336,-87.70373599999999,1,0
2007-07-11,culex pipiens/restuans,T002,"4100  n oak park ave, chicago, il",41.95469,-87.800991,18,0
